step,train/ep_return_mean,train/ep_length_mean,train/n_episodes,loss/policy,loss/value,loss/entropy,loss/approx_kl,loss/clip_frac,time/elapsed_s,time/sps,time/update
256,0.0,0.0,0.0,-0.01507458626292646,0.13376419618725777,3.68613763153553,0.028766687959432602,0.2021484375,0.13152217864990234,1946.439776377519,1.0
512,0.0,500.0,1.0,-0.022357931127771735,0.058688605087809265,3.6819529831409454,0.017697571776807308,0.2158203125,0.24979305267333984,2049.696717024209,2.0
768,0.0,0.0,0.0,-0.019953459850512445,0.025685369851998985,3.6662207543849945,0.02089486736804247,0.2080078125,0.3668701648712158,2093.383636877626,3.0
1024,0.0,500.0,1.0,-0.01585422083735466,0.01844812254421413,3.6698504239320755,0.016392656601965427,0.1181640625,0.48488616943359375,2111.8358587050584,4.0
1280,0.0,0.0,0.0,-0.019905211171135306,0.014548937790095806,3.672121539711952,0.009374720975756645,0.1025390625,0.645205020904541,1983.8655288291345,5.0
1536,0.0,500.0,1.0,-0.01414940517861396,0.011632690875558183,3.655939429998398,-0.0014800997450947762,0.1494140625,0.7585217952728271,2024.9912521597714,6.0
1792,0.0,0.0,0.0,-0.018541434896178544,0.0047992799372877926,3.6542440205812454,0.01035329233855009,0.1787109375,0.8777821063995361,2041.5089199646357,7.0
2048,0.0,500.0,1.0,-0.015357540920376778,0.0025525487944833003,3.6461342871189117,0.010250861756503582,0.1748046875,1.0006659030914307,2046.6371380027672,8.0
2304,0.0,0.0,0.0,-0.021827133372426033,0.0028491677076090127,3.6445666700601578,0.011861387640237808,0.220703125,1.1553080081939697,1994.2733744239497,9.0
2560,0.0,500.0,1.0,-0.024338570423424244,0.004343305939983111,3.653964787721634,0.007952754385769367,0.1494140625,1.287001132965088,1989.1202380700968,10.0
2816,0.0,0.0,0.0,-0.030280281964223832,0.0026512677868595347,3.670089215040207,0.007120668888092041,0.19921875,1.4022300243377686,2008.2297134736598,11.0
3072,0.0,500.0,1.0,-0.020443957415409386,0.002514162602892611,3.667474687099457,0.004518039524555206,0.0927734375,1.5226659774780273,2017.5140480173566,12.0
3328,0.0,0.0,0.0,-0.014753351686522365,0.004661903243686538,3.644603282213211,0.01412277203053236,0.099609375,1.6501851081848145,2016.7434450191854,13.0
3584,0.0,500.0,1.0,-0.022955604479648173,0.006013818361680023,3.630688354372978,0.014744758605957031,0.1484375,1.7759051322937012,2018.1258192384537,14.0
3840,0.0,0.0,0.0,-0.020058739639353007,0.0012473361130105332,3.62750543653965,0.007327418774366379,0.1796875,1.900542974472046,2020.4752281735266,15.0
4096,0.0,500.0,1.0,-0.014259859221056104,0.0016517275216756389,3.6255567967891693,0.008318738080561161,0.095703125,2.0393128395080566,2008.5196938141564,16.0
4352,0.0,0.0,0.0,-0.018846582795958966,0.0018450754832883831,3.6335841715335846,0.015510247088968754,0.1435546875,2.1840670108795166,1992.6128540568286,17.0
4608,0.0,500.0,1.0,-0.017338677775114775,0.0015339241581386887,3.6311467736959457,0.005758665502071381,0.1181640625,2.310994863510132,1993.9464482413366,18.0
4864,0.0,0.0,0.0,-0.020658544613979757,0.0009252311101590749,3.62740096449852,-0.005602117627859116,0.115234375,2.4430010318756104,1990.9938377167493,19.0
5120,0.0,500.0,1.0,-0.02083782572299242,0.0007664081476832507,3.6028853207826614,0.016281316988170147,0.16796875,2.5731678009033203,1989.7652994890595,20.0
5376,0.0,0.0,0.0,-0.02354706614278257,0.0014221171913959552,3.558203801512718,0.009867377579212189,0.2548828125,2.7055649757385254,1987.0156688927932,21.0
5632,0.0,500.0,1.0,-0.02604339341633022,0.0007185985614341917,3.603596583008766,0.017390537075698376,0.162109375,2.851961851119995,1974.7809732406677,22.0
5888,0.0,0.0,0.0,-0.02353008498903364,0.0006094923573982669,3.6135677248239517,0.013989463448524475,0.1826171875,2.991460084915161,1968.2696184685967,23.0
6144,0.0,500.0,1.0,-0.02397372340783477,0.0011745463707484305,3.563466176390648,0.009833924472332,0.162109375,3.1342530250549316,1960.2756863869722,24.0
6400,0.0,0.0,0.0,-0.02929034025873989,0.0006855909468868049,3.547232449054718,0.021745458245277405,0.2041015625,3.2736032009124756,1955.0323014762696,25.0
6656,0.0,0.0,0.0,-0.02375827031210065,0.0008528057514922693,3.5567498952150345,0.006393556483089924,0.1513671875,3.9388129711151123,1689.849213154091,26.0
6912,0.0,500.0,1.0,-0.024214821052737534,0.0007940495252114488,3.580053746700287,0.011549239046871662,0.2080078125,4.081238031387329,1693.6037415221317,27.0
7168,0.0,0.0,0.0,-0.023973810952156782,0.0006089511971367756,3.573823168873787,0.0040615517646074295,0.16796875,4.224973201751709,1696.578808364533,28.0
7424,0.0,500.0,1.0,-0.020332627464085817,0.0007015730971033918,3.5396736413240433,-0.003914529457688332,0.1005859375,4.372984170913696,1697.6965179475646,29.0
7680,0.0,0.0,0.0,-0.022185808280482888,0.0007861275207687868,3.582078292965889,-0.0038619721308350563,0.1474609375,4.52124810218811,1698.645999161863,30.0
7936,0.0,500.0,1.0,-0.028550103306770325,0.0009303645911131753,3.580584868788719,0.025526353158056736,0.240234375,4.6693809032440186,1699.5829135478157,31.0
8192,0.0,0.0,0.0,-0.02109697333071381,0.0005116363299748627,3.6210379004478455,0.009088186547160149,0.119140625,4.810962915420532,1702.7776235277688,32.0
8448,0.0,500.0,1.0,-0.017964445985853672,0.000628958863671869,3.5770262479782104,0.009419168345630169,0.0966796875,4.9550909996032715,1704.9131894200102,33.0
8704,0.0,0.0,0.0,-0.022848459193482995,0.0004694371182267787,3.579118087887764,6.567966192960739e-05,0.166015625,5.094722032546997,1708.4347182035801,34.0
8960,0.0,500.0,1.0,-0.022067174315452576,0.0013127153433742933,3.615057647228241,-0.006610997021198273,0.12109375,5.235867977142334,1711.2730953331345,35.0
9216,0.0,0.0,0.0,-0.016034415806643665,0.0002816947226165212,3.6070834696292877,0.00900039542466402,0.068359375,5.404211044311523,1705.3368057675632,36.0
9472,0.0,500.0,1.0,-0.024557703465688974,0.0007015412411419675,3.578162297606468,0.007969845086336136,0.1689453125,5.546422958374023,1707.7673432205736,37.0
9728,0.0,0.0,0.0,-0.021675813652109355,0.0002508964398657554,3.58675779402256,0.005782539024949074,0.076171875,5.6827311515808105,1711.8529348856991,38.0
9984,0.0,500.0,1.0,-0.024968247511424124,0.0003908820308424765,3.5450698733329773,0.014730803668498993,0.123046875,5.825518846511841,1713.8387606415765,39.0
10240,0.0,0.0,0.0,-0.018097428837791085,0.0003869152706101886,3.402888312935829,0.012023196555674076,0.189453125,5.973260164260864,1714.306713320113,40.0
10496,0.0,500.0,1.0,-0.01841038151178509,0.00030334052553371293,3.529270350933075,0.0037654079496860504,0.11328125,6.120383977890015,1714.9250827916956,41.0
10752,0.0,0.0,0.0,-0.022449492127634585,0.00035428236333245877,3.5071063488721848,0.004034059122204781,0.1435546875,6.26855993270874,1715.2264819064906,42.0
11008,0.0,500.0,1.0,-0.03440127370413393,0.00025075894882320426,3.5222970694303513,0.010876177810132504,0.216796875,6.412842035293579,1716.555614408808,43.0
11264,0.0,0.0,0.0,-0.02694921032525599,0.00024058199960563798,3.540648400783539,0.019499600864946842,0.16796875,6.557538032531738,1717.7178300941075,44.0
11520,0.0,500.0,1.0,-0.020898997085168958,0.00025614250716898823,3.512552320957184,-5.699042230844498e-05,0.1357421875,6.700719833374023,1719.2182760160736,45.0
11776,0.0,0.0,0.0,-0.019578741979785264,0.00020494979980867356,3.522206276655197,0.014652714133262634,0.1748046875,6.8418049812316895,1721.1832304930792,46.0
12032,0.0,500.0,1.0,-0.02691446733660996,0.0002446446137582825,3.5339250713586807,0.011025367304682732,0.1455078125,6.98583984375,1722.3412315649682,47.0
12288,0.0,0.0,0.0,-0.027839730260893703,0.0003667239789137966,3.5564220547676086,0.015258951112627983,0.201171875,7.122359037399292,1725.2710703681298,48.0
12544,0.0,500.0,1.0,-0.019891072588507086,0.00022024330883141374,3.525709629058838,0.011620872654020786,0.1328125,7.264537811279297,1726.744402172914,49.0
12800,0.0,0.0,0.0,-0.01570130232721567,0.00020661835560531472,3.4591785669326782,0.018801899626851082,0.134765625,7.405739068984985,1728.3892776625116,50.0
13056,0.0,0.0,0.0,-0.015189550467766821,0.00019271855308033992,3.5389440804719925,0.005165202543139458,0.119140625,8.067574977874756,1618.330171805772,51.0
13312,0.0,500.0,1.0,-0.023913101758807898,0.00016574130131630227,3.5476626455783844,0.019125010818243027,0.1474609375,8.20723009109497,1621.9845005251918,52.0
13568,0.0,0.0,0.0,-0.02172779676038772,0.0001210783420901862,3.449280634522438,0.007270270027220249,0.1591796875,8.350582122802734,1624.7969064276595,53.0
13824,0.0,500.0,1.0,-0.027057926636189222,0.0002449456337672018,3.4938751459121704,0.00483954232186079,0.15625,8.49153208732605,1627.974770375404,54.0
14080,0.0,0.0,0.0,-0.012268424383364618,0.00026664969209377887,3.437085822224617,0.007492382079362869,0.1142578125,8.636355876922607,1630.3172542511213,55.0
