step,train/ep_return_mean,train/ep_length_mean,train/n_episodes,loss/policy,loss/value,loss/entropy,loss/approx_kl,loss/clip_frac,time/elapsed_s,time/sps,time/update
256,0.0,0.0,0.0,-0.02220690413378179,0.057458590948954225,3.6846505105495453,-0.0063385795801877975,0.154296875,0.11154508590698242,2295.036109555545,1.0
512,0.0,500.0,1.0,-0.011096836999058723,0.0160512353759259,3.6804104447364807,-0.00048744771629571915,0.021484375,0.1988999843597412,2574.158070691294,2.0
768,0.0,0.0,0.0,-0.012815446825698018,0.01497122918954119,3.6784731596708298,-0.0033922470174729824,0.0546875,0.28664302825927734,2679.2907005759116,3.0
1024,0.0,500.0,1.0,-0.012760494719259441,0.017088819527998567,3.672366499900818,0.000612946692854166,0.060546875,0.36872291564941406,2777.153131902523,4.0
1280,0.0,0.0,0.0,-0.01812152226921171,0.006614468977204524,3.6416101455688477,0.011693388689309359,0.123046875,0.45404911041259766,2819.078312557104,5.0
1536,0.0,500.0,1.0,-0.012949760362971574,0.015105940285138786,3.6486115604639053,0.0010500000789761543,0.046875,0.5373649597167969,2858.3925546792366,6.0
1792,0.0,0.0,0.0,-0.019434149377048016,0.005535109856282361,3.6111079156398773,0.00618235906586051,0.177734375,0.6211409568786621,2885.0134259461843,7.0
2048,0.0,500.0,1.0,-0.009818262653425336,0.0062131614540703595,3.607626810669899,0.008771855384111404,0.0439453125,0.7064499855041504,2899.0021120015554,8.0
2304,0.0,0.0,0.0,-0.015197010478004813,0.0022092448198236525,3.6113988012075424,0.002242406364530325,0.0615234375,0.8380069732666016,2749.3804628127014,9.0
2560,0.0,500.0,1.0,-0.011089681182056665,0.0031698827442596667,3.633920654654503,0.004256316460669041,0.046875,0.9215149879455566,2778.0340347011756,10.0
2816,0.0,0.0,0.0,-0.014278747141361237,0.003068901613005437,3.570432797074318,0.002414163202047348,0.0654296875,1.006471872329712,2797.892397610394,11.0
3072,0.0,500.0,1.0,-0.014063819195143878,0.0014898798617650755,3.533288225531578,5.144299939274788e-05,0.0771484375,1.0965819358825684,2801.4322500466365,12.0
3328,0.0,0.0,0.0,-0.010584254516288638,0.0015156458721321542,3.5479374676942825,-0.00099191814661026,0.0556640625,1.1876611709594727,2802.146000370979,13.0
3584,0.0,500.0,1.0,-0.01369979593437165,0.002042032949248096,3.609877720475197,0.002095036208629608,0.0517578125,1.2757129669189453,2809.4093992443645,14.0
3840,0.0,0.0,0.0,-0.017211930826306343,0.0020193609670968726,3.608284831047058,0.008655424229800701,0.0791015625,1.3721890449523926,2798.448227032178,15.0
4096,0.0,500.0,1.0,-0.009429057128727436,0.0015215290295600425,3.5609169751405716,0.0037878812290728092,0.0458984375,1.4655039310455322,2794.943031696815,16.0
4352,0.0,0.0,0.0,-0.016107310308143497,0.000851051767313038,3.550435796380043,0.011896305717527866,0.134765625,1.5586869716644287,2792.093652616317,17.0
4608,0.0,500.0,1.0,-0.012459514662623405,0.0013452141647576354,3.514352783560753,0.0037241745740175247,0.0654296875,1.653515100479126,2786.7903949983743,18.0
4864,0.0,0.0,0.0,-0.01564887259155512,0.0010943201814370696,3.51615047454834,-0.0022940868511795998,0.111328125,1.7469110488891602,2784.3432572556912,19.0
5120,0.0,500.0,1.0,-0.011710768798366189,0.0012805931255570613,3.4940676540136337,0.01183190057054162,0.08203125,1.8396480083465576,2783.1411100223263,20.0
5376,0.0,0.0,0.0,-0.01486417360138148,0.0032186206153710373,3.6257704943418503,0.0020584240555763245,0.013671875,1.9343690872192383,2779.2007407067777,21.0
5632,0.0,500.0,1.0,-0.022780574392527342,0.0012639089763979428,3.596815824508667,0.00283309118822217,0.1318359375,2.025040864944458,2781.1784431098245,22.0
5888,0.0,0.0,0.0,-0.011558327358216047,0.0008161660916812252,3.496234342455864,-0.00010058144107460976,0.0654296875,2.112797975540161,2786.8258433439028,23.0
6144,0.0,500.0,1.0,-0.01566089189145714,0.0008325536709890002,3.5420089662075043,0.010975661221891642,0.126953125,2.2098519802093506,2780.276713111775,24.0
6400,0.0,0.0,0.0,-0.01711329212412238,0.0007887527772254543,3.5804364532232285,0.01578045403584838,0.1005859375,2.3045670986175537,2777.094233376491,25.0
6656,0.0,0.0,0.0,-0.0184628160786815,0.0010126115193997975,3.5355877578258514,0.005141098517924547,0.154296875,2.7211990356445312,2445.980581653223,26.0
6912,0.0,500.0,1.0,-0.016425565932877362,0.0009290292018704349,3.5419218838214874,0.0012291721068322659,0.06640625,2.8136520385742188,2456.593745508974,27.0
7168,0.0,0.0,0.0,-0.01750533061567694,0.0009037447744049132,3.4420004189014435,0.016786290798336267,0.1357421875,2.9003970623016357,2471.3857606488436,28.0
7424,0.0,500.0,1.0,-0.02047864522319287,0.0011059424650738947,3.54424649477005,0.019919398706406355,0.1474609375,2.993459939956665,2480.0732760457363,29.0
7680,0.0,0.0,0.0,-0.01809197710826993,0.0008158885320881382,3.495396688580513,0.011453160550445318,0.1396484375,3.0834219455718994,2490.73922919607,30.0
7936,0.0,500.0,1.0,-0.012453720206394792,0.0008812368650978897,3.5312514901161194,0.009269271045923233,0.1005859375,3.17470383644104,2499.7607363893662,31.0
8192,0.0,0.0,0.0,-0.024786937632597983,0.0006325717376967077,3.4666637629270554,0.004989619366824627,0.1591796875,3.2704670429229736,2504.841018877358,32.0
8448,0.0,500.0,1.0,-0.020000118296593428,0.0005773684661107836,3.490554690361023,0.014268745202571154,0.185546875,3.3608150482177734,2513.6759621687424,33.0
8704,0.0,0.0,0.0,-0.014639951521530747,0.0004958795270795235,3.492150217294693,0.008305506315082312,0.130859375,3.448201894760132,2524.2141457049106,34.0
8960,0.0,500.0,1.0,-0.015864811895880848,0.00037953536684653955,3.387825459241867,-0.00990073336288333,0.142578125,3.535141944885254,2534.551692602779,35.0
9216,0.0,0.0,0.0,-0.01846638519782573,0.0005536413609661395,3.5346434712409973,0.0051523782312870026,0.1611328125,3.6213760375976562,2544.88898814101,36.0
9472,0.0,500.0,1.0,-0.016095968894660473,0.0004647238692996325,3.486585423350334,0.011608195025473833,0.126953125,3.7088589668273926,2553.88519345681,37.0
9728,0.0,0.0,0.0,-0.015512744197621942,0.00041069017242989503,3.4244526773691177,0.003906627651304007,0.1181640625,3.8032939434051514,2557.782844228538,38.0
9984,0.0,500.0,1.0,-0.011102936929091811,0.000362603892426705,3.3227109909057617,-0.0012648708652704954,0.10546875,3.9034790992736816,2557.7183189882376,39.0
10240,0.0,0.0,0.0,-0.01201774354558438,0.0006500460622191895,3.3232056349515915,0.009517354890704155,0.1044921875,4.002998113632202,2558.08264438789,40.0
10496,0.0,500.0,1.0,-0.011915306211449206,0.0004227306471875636,3.3514931052923203,0.0018703457899391651,0.0830078125,4.132429122924805,2539.910471004342,41.0
10752,0.0,0.0,0.0,-0.01403309335000813,0.0006850935787952039,3.4365371763706207,0.007439503911882639,0.140625,4.251077890396118,2529.24088365695,42.0
