step,train/ep_return_mean,train/ep_length_mean,train/n_episodes,loss/policy,loss/value,loss/entropy,loss/approx_kl,loss/clip_frac,time/elapsed_s,time/sps,time/update
256,0.0,0.0,0.0,-0.007448306190781295,0.03626598615664989,1.6069891229271889,0.009262794628739357,0.0732421875,0.10177922248840332,2515.248139463519,1.0
512,0.0,500.0,1.0,-0.002769060432910919,0.004899586652754806,1.6048431247472763,0.001958586508408189,0.0,0.19265103340148926,2657.655092526704,2.0
768,0.0,0.0,0.0,-0.0067901157308369875,0.011594094859901816,1.5981294065713882,0.0065083971712738276,0.052734375,0.285480260848999,2690.2035107997303,3.0
1024,0.0,500.0,1.0,0.00035037961788475513,0.003999201799160801,1.5972054675221443,-0.0010830319952219725,0.0,0.3791179656982422,2701.0062636151874,4.0
1280,0.0,0.0,0.0,-0.0054661016329191625,0.003847658976155799,1.5944393873214722,-5.167722702026367e-05,0.0029296875,0.4690370559692383,2728.995467863308,5.0
1536,0.0,500.0,1.0,-0.003025777521543205,0.006331391166895628,1.5878527462482452,0.003270372748374939,0.0185546875,0.5603020191192627,2741.3786629118963,6.0
1792,0.0,0.0,0.0,-0.009715894586406648,0.0023093637864803895,1.6012216359376907,-0.0049345705192536116,0.0517578125,0.6547071933746338,2737.101437305561,7.0
2048,0.0,500.0,1.0,-0.021927295485511422,0.0044950232695555314,1.5973588600754738,0.0022097949404269457,0.123046875,0.7454938888549805,2747.1720836579434,8.0
2304,0.0,0.0,0.0,-0.011665899073705077,0.0026184568923781626,1.602424867451191,0.0033581401221454144,0.033203125,0.8806262016296387,2616.3200637641075,9.0
2560,0.0,500.0,1.0,-0.008297049207612872,0.0026412694933242165,1.603254646062851,0.0006740782409906387,0.0087890625,0.970609188079834,2637.5188195616342,10.0
2816,0.0,0.0,0.0,-0.005013758433051407,0.0016583360702497885,1.5923360958695412,0.004189825849607587,0.0078125,1.0628020763397217,2649.599641071715,11.0
3072,0.0,500.0,1.0,-0.005677621113136411,0.00235963039813214,1.5743611454963684,0.0021616339217871428,0.0048828125,1.1569881439208984,2655.169818412615,12.0
3328,0.0,0.0,0.0,-0.006738368421792984,0.0010870180085476022,1.5719884037971497,0.0004114932380616665,0.00390625,1.2499580383300781,2662.48937800036,13.0
3584,0.0,500.0,1.0,-0.006619056104682386,0.0016853715351317078,1.5677681937813759,0.005062212934717536,0.01953125,1.3416860103607178,2671.265834423083,14.0
3840,0.0,0.0,0.0,-0.008226004429161549,0.0024487637929269113,1.5768696293234825,0.0008810318540781736,0.064453125,1.429988145828247,2685.336945765993,15.0
4096,0.0,500.0,1.0,-0.006817378802224994,0.0015832723038329277,1.5974757745862007,0.004616555059328675,0.0107421875,1.51328706741333,2706.690678987507,16.0
4352,0.0,0.0,0.0,-0.001784573309123516,0.0018036402943835128,1.5952385142445564,-0.0006260382942855358,0.0,1.5990891456604004,2721.5493343885387,17.0
4608,0.0,500.0,1.0,-0.002607409842312336,0.001596256723132683,1.6016932427883148,0.0011478541418910027,0.0,1.6892468929290771,2727.8428152144993,18.0
4864,0.0,0.0,0.0,-0.0010981219820678234,0.0012086077113053761,1.6006567552685738,0.0002602548338472843,0.0,1.778778076171875,2734.4614064885823,19.0
5120,0.0,500.0,1.0,-0.009144565905444324,0.0011041840989491902,1.597340501844883,-0.0019408022053539753,0.013671875,1.869502305984497,2738.696809097414,20.0
5376,0.0,0.0,0.0,-0.006160688819363713,0.0009488723080721684,1.593807078897953,-0.0005350410938262939,0.001953125,1.9632329940795898,2738.3402867678456,21.0
5632,0.0,500.0,1.0,-0.006666810950264335,0.0010340341104893014,1.5972545444965363,0.008289684541523457,0.0087890625,2.054986000061035,2740.651274428499,22.0
5888,0.0,0.0,0.0,-0.011780819622799754,0.0008844946696626721,1.598709486424923,0.0012461745645850897,0.107421875,2.151423931121826,2736.792091426535,23.0
6144,0.0,500.0,1.0,-0.0058109513483941555,0.001283674209844321,1.5904106348752975,0.0013031833805143833,0.0048828125,2.2453150749206543,2736.364294092275,24.0
6400,0.0,0.0,0.0,-0.006213797256350517,0.0006310903736448381,1.5897131934762,0.0038993158377707005,0.0126953125,2.3406591415405273,2734.27253307279,25.0
6656,0.0,0.0,0.0,-0.012970059178769588,0.001273702295293333,1.5915695205330849,0.006040388951078057,0.0810546875,2.7697560787200928,2403.0996993337208,26.0
6912,0.0,500.0,1.0,-0.008117517223581672,0.000425852155785833,1.5947934612631798,0.005332321161404252,0.048828125,2.865457057952881,2412.180626059712,27.0
7168,0.0,0.0,0.0,-0.006933391443453729,0.0007085812067089137,1.59054584056139,0.0017816449981182814,0.068359375,2.963855028152466,2418.471865834885,28.0
7424,0.0,500.0,1.0,-0.009468417265452445,0.0009498534818703774,1.572230450809002,0.013150864280760288,0.04296875,3.0723109245300293,2416.4220947577587,29.0
7680,0.0,0.0,0.0,-0.013130122097209096,0.0006730414843332255,1.5663090720772743,0.016010295366868377,0.0888671875,3.2082080841064453,2393.859686984438,30.0
7936,0.0,500.0,1.0,-0.0061274305917322636,0.000616308812823263,1.5414250493049622,0.009000197751447558,0.0390625,3.312915086746216,2395.4734100336855,31.0
8192,0.0,0.0,0.0,-0.012339507811702788,0.000606923664236092,1.558118648827076,0.003807105589658022,0.078125,3.414926052093506,2398.88064193306,32.0
8448,0.0,500.0,1.0,-0.007247479748912156,0.0005703584847651655,1.5127057284116745,0.0027981515740975738,0.0078125,3.5160980224609375,2402.6633916443534,33.0
8704,0.0,0.0,0.0,-0.001611190615221858,0.000725705924196518,1.473485715687275,0.002565069356933236,0.0009765625,3.622101068496704,2403.0251600937404,34.0
8960,1.0,500.0,1.0,-0.01761385827558115,0.018490162474336103,1.4411046355962753,0.02041715499944985,0.208984375,3.724173069000244,2405.903225761019,35.0
9216,0.0,0.0,0.0,-0.008727220119908452,0.0011756534768210258,1.5120474770665169,-0.0005547829205170274,0.046875,3.8268752098083496,2408.231127155447,36.0
9472,0.0,500.0,1.0,-0.01033471873961389,0.00048311135287804063,1.4920894503593445,-0.0005585701437667012,0.0576171875,3.9296209812164307,2410.4105829229115,37.0
9728,0.0,0.0,0.0,-0.008490043808706105,0.0005551966260100016,1.5242732763290405,0.0035593522479757667,0.0771484375,4.0490381717681885,2402.5458855459115,38.0
9984,1.0,500.0,1.0,-0.0049929083324968815,0.01335631767869927,1.463721163570881,0.0030157495057210326,0.0263671875,4.151694059371948,2404.801475547632,39.0
10240,0.0,0.0,0.0,-0.011531162192113698,0.0009188782023556996,1.3792889788746834,0.01349965448025614,0.134765625,4.256671905517578,2405.6352538533024,40.0
10496,0.0,500.0,1.0,-0.008632250945083797,0.0005748742714786204,1.4794386699795723,0.006669925758615136,0.08203125,4.361143112182617,2406.7084546434608,41.0
10752,0.0,0.0,0.0,-0.00891889282502234,0.0003499314125292585,1.5178829580545425,0.010639393934980035,0.0390625,4.464144229888916,2408.524332169158,42.0
11008,0.0,500.0,1.0,-0.008747902698814869,0.0008465979881293606,1.3604831546545029,0.0025356104597449303,0.0322265625,4.570141077041626,2408.678378726499,43.0
11264,0.0,0.0,0.0,-0.007934125838801265,0.000693990669788036,1.3841513320803642,0.0036539225839078426,0.0517578125,4.670660018920898,2411.650592072513,44.0
11520,0.0,500.0,1.0,-0.007226722547784448,0.0006789187809772557,1.3958686888217926,0.009554344112984836,0.0458984375,4.786801099777222,2406.6176471247454,45.0
11776,0.0,0.0,0.0,-0.0058085495547857136,0.0003852121017189347,1.4594411477446556,0.009063570876605809,0.0283203125,4.900614023208618,2402.9641886160634,46.0
12032,0.0,500.0,1.0,-0.005949201236944646,0.0003809640202234732,1.4149336218833923,0.0045792218297719955,0.0556640625,5.015069246292114,2399.169265488377,47.0
12288,0.0,0.0,0.0,-0.006157886586152017,0.00039335547262453474,1.4197231829166412,0.003094826708547771,0.02734375,5.127904891967773,2396.300293955847,48.0
12544,0.0,500.0,1.0,-0.005802257335744798,0.0004377880932224798,1.492315448820591,0.006658429396338761,0.0263671875,5.242274045944214,2392.854682922368,49.0
12800,0.0,0.0,0.0,-0.009391580999363214,0.00037333737418521196,1.5306659042835236,-0.001174448523670435,0.0419921875,5.359633207321167,2388.223131111924,50.0
13056,0.0,0.0,0.0,-0.005573403206653893,0.00042601156837918097,1.5404423624277115,0.005590858170762658,0.0244140625,5.852392196655273,2230.8826136877315,51.0
13312,0.0,500.0,1.0,-0.003633870743215084,0.00026142426395381335,1.5367362201213837,0.0018383637070655823,0.0009765625,5.968093156814575,2230.5281855059347,52.0
13568,0.0,0.0,0.0,-0.0031455394346266985,0.0005452964578580577,1.4466255232691765,0.0020558845717459917,0.001953125,6.087135076522827,2228.963187022045,53.0
13824,1.0,500.0,1.0,-0.0030754629988223314,0.014474931522272527,1.4282646104693413,-0.0010647278977558017,0.0,6.208884239196777,2226.4869930621167,54.0
14080,0.0,0.0,0.0,-0.008177082287147641,0.0005840416870341869,1.550398401916027,0.004675006959587336,0.00390625,6.326549053192139,2225.541899955041,55.0
14336,0.0,500.0,1.0,-0.007117752684280276,0.0008321894547407283,1.5536926463246346,0.005087156314402819,0.0380859375,6.4432501792907715,2224.9640478150745,56.0
14592,0.0,0.0,0.0,-0.005213588941842318,0.0003785974208767584,1.5414546951651573,-0.00030848896130919456,0.00390625,6.558992147445679,2224.732042968321,57.0
14848,0.0,500.0,1.0,-0.01664411381352693,0.00018274777266924502,1.543089635670185,0.001663814065977931,0.103515625,6.680231094360352,2222.677597566216,58.0
15104,0.0,0.0,0.0,-0.006476104608736932,0.00042528639369265875,1.5397877991199493,0.011260509258136153,0.0380859375,6.79562520980835,2222.6063877389674,59.0
15360,0.0,500.0,1.0,-0.008297566033434123,0.000463797572592739,1.5397637709975243,-0.0008286612574011087,0.0087890625,6.909592151641846,2222.9966201912775,60.0
15616,0.0,0.0,0.0,-0.003330658655613661,0.0002654545569384936,1.4116517156362534,0.0050166326109319925,0.0009765625,7.028325080871582,2221.8664931280414,61.0
15872,0.0,500.0,1.0,-0.0070335581549443305,0.00020551398483803496,1.4995648860931396,-0.002359646954573691,0.0048828125,7.144407033920288,2221.597947127418,62.0
16128,0.0,0.0,0.0,-0.0117318308330141,0.00019661455053210375,1.512697696685791,-0.00022918591275811195,0.037109375,7.261382102966309,2221.0647740753975,63.0
16384,0.0,500.0,1.0,-0.013221799745224416,0.0002655099451658316,1.5375214666128159,0.01299915590789169,0.0615234375,7.398869037628174,2214.3924857537622,64.0
16640,0.0,0.0,0.0,-0.010340436361730099,0.00021538123201025883,1.3595885038375854,0.008005738724023104,0.05859375,7.515989065170288,2213.946808027054,65.0
16896,0.0,500.0,1.0,-0.010838699352461845,0.00011498827507239184,1.4652281925082207,0.0012856272514909506,0.1708984375,7.631180047988892,2214.074349412414,66.0
17152,0.0,0.0,0.0,-0.00731119338888675,0.00012334974076111394,1.5212013572454453,0.007565197185613215,0.0048828125,7.742877244949341,2215.197200909805,67.0
17408,0.0,500.0,1.0,-0.013184071867726743,0.00013658953776030103,1.45800169557333,-0.004371944232843816,0.1494140625,7.857753038406372,2215.3915903076677,68.0
17664,0.0,0.0,0.0,-0.006413040217012167,0.00013518867217499064,1.4428345188498497,0.0075301508186385036,0.046875,7.9739298820495605,2215.2188771767546,69.0
17920,0.0,500.0,1.0,-0.012427900219336152,0.00010656809354259167,1.4474558979272842,-0.003742472850717604,0.0625,8.092259168624878,2214.461947719002,70.0
18176,0.0,0.0,0.0,-0.0037280419492162764,0.00012259387995072757,1.3387893438339233,0.002175928675569594,0.0224609375,8.214356899261475,2212.711259433364,71.0
18432,0.0,500.0,1.0,-0.008670835057273507,0.00010331854446121724,1.411873109638691,-0.001197850564494729,0.0498046875,8.330897092819214,2212.486818002757,72.0
18688,0.0,0.0,0.0,-0.009050011169165373,0.0001696744889159163,1.405730776488781,0.012635960709303617,0.126953125,8.44589900970459,2212.671496370834,73.0
18944,0.0,500.0,1.0,-0.01779152045492083,0.00020259010761947138,1.3838476166129112,0.020000257645733654,0.1455078125,8.563593864440918,2212.1553520493558,74.0
19200,0.0,0.0,0.0,0.0013474527513608336,7.973180663611856e-05,1.3069425970315933,0.0009517199359834194,0.0517578125,8.678401947021484,2212.3888841758057,75.0
19456,0.0,0.0,0.0,-0.010497550945729017,0.00014280202822192223,1.3102978691458702,0.01855663221795112,0.1279296875,9.182366847991943,2118.8436839957835,76.0
19712,0.0,500.0,1.0,-0.00896184699377045,0.00018302176977158524,1.2062744349241257,0.015508552663959563,0.0546875,9.299857139587402,2119.602452395795,77.0
19968,0.0,0.0,0.0,-0.004818835761398077,7.30395099708403e-05,1.4002548083662987,-0.001231518224813044,0.0166015625,9.412166118621826,2121.5095173993604,78.0
20224,0.0,500.0,1.0,-0.00864239246584475,5.0896207085315837e-05,1.3764769583940506,0.006565858726389706,0.1083984375,9.524777173995972,2123.304265344334,79.0
20480,0.0,0.0,0.0,-0.015439239330589771,0.00012131959920225199,1.350739099085331,0.007124094059690833,0.185546875,9.639424085617065,2124.608256478528,80.0
